respondent_id,country,trust_people,trust_fairness,trust_helpfulness,political_interest,political_self_efficacy,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,trust_eu_parliament,trust_un,voted_last_election,contacted_politician,volunteered,left_right,life_satisfaction,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_sys,reduce_inequality,gay_rights,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_poor_countries,happiness,social_meeting_freq,close_confidants,social_activity,crime_victim,feel_safe_dark,self_rated_health,health_hampered,religious_belonging,born_in_country,felt_depressed,felt_everything_effort,sleep_restless,was_happy,felt_lonely,enjoyed_life,felt_sad,could_not_get_going,risk_taking,leadership_preference,competitiveness,gender,age,urbanization,education_level,employment_relation,occupation_code,income_decile,intagea,intgndr,intlnga,trust_institutions
50446.0,AT,0.8,0.9,0.7,3,3,0.5,0.6,0.7,0.4,0.4,0.5,0.6,1,2,2,0.5,0.7,0.5,0.4,0.4,0.5,0.7,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7,0.8333333333333334,0.16666666666666666,3,2,0.6666666666666666,2,3,2,1,1,1,2,3,1,3,1,1,0.6666666666666666,0.5,0.8333333333333334,2,57.0,1,3.0,1,5141.0,3.0,,1,GER,0.6
50465.0,AT,1.0,0.9,0.9,1,1,0.4,0.8,0.8,0.5,0.5,0.5,0.5,1,1,2,0.5,0.8,0.5,0.0,0.4,0.6,0.5,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.9,0.5,0.5,3,2,1.0,3,2,2,1,1,2,1,2,1,2,1,2,0.16666666666666666,0.0,1.0,2,67.0,1,5.0,1,1112.0,3.0,,1,GER,0.6666666666666666
50468.0,AT,1.0,1.0,1.0,4,4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2,2,2,,1.0,0.9,,0.9,1.0,1.0,0.25,0.25,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,2,2,0.6666666666666666,2,3,1,1,1,1,1,3,1,4,1,1,0.3333333333333333,0.16666666666666666,1.0,2,38.0,3,3.0,1,2264.0,7.0,30.0,1,GER,0.8000000000000002
50489.0,AT,0.7,0.7,0.7,3,3,0.8,0.9,0.9,0.5,0.5,0.9,0.8,3,2,1,0.6,0.8,0.9,0.7,0.9,0.7,0.7,0.25,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.9,0.8333333333333334,0.16666666666666666,4,2,0.6666666666666666,2,3,1,2,1,2,1,3,1,4,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,42.0,1,5.0,2,,,57.0,2,GER,0.8666666666666667
50512.0,AT,0.8,0.8,0.9,3,2,0.5,0.5,0.7,0.5,0.5,0.5,0.5,1,2,2,0.5,1.0,0.3,0.3,0.5,0.8,0.5,0.25,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.9,0.8333333333333334,-0.16666666666666666,4,2,0.3333333333333333,1,3,1,1,1,2,2,3,1,3,1,2,0.16666666666666666,0.0,0.8333333333333334,2,59.0,5,2.0,3,6130.0,5.0,61.0,1,GER,0.5666666666666667
50577.0,AT,0.2,0.3,0.3,2,3,0.4,0.6,0.8,0.4,0.3,0.3,0.3,1,2,2,0.7,0.7,0.4,0.4,0.5,0.9,0.7,0.25,0.25,0.6666666666666666,0.3333333333333333,0.0,0.7,0.5,0.3333333333333333,3,2,1.0,2,3,1,1,1,1,1,2,1,3,1,1,0.0,0.6666666666666666,0.6666666666666666,1,58.0,4,3.0,1,7119.0,5.0,39.0,2,GER,0.6
50591.0,AT,0.7,0.5,0.4,2,3,0.0,0.8,0.8,0.1,0.1,0.0,0.0,1,2,2,0.8,0.8,0.4,0.0,0.0,0.5,0.3,0.25,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.8333333333333334,0.6666666666666666,4,2,0.6666666666666666,3,3,1,1,2,2,2,2,2,2,2,1,0.5,0.5,0.8333333333333334,2,38.0,4,3.0,1,4110.0,3.0,53.0,2,GER,0.5333333333333333
50592.0,AT,0.5,0.8,0.6,2,1,0.3,,,0.5,0.5,0.4,0.4,1,2,2,0.4,1.0,0.6,0.2,0.6,,0.4,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9,0.8333333333333334,0.3333333333333333,3,2,1.0,2,3,1,1,1,1,1,4,1,3,2,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,2,79.0,1,3.0,1,5223.0,2.0,64.0,1,GER,0.3
50611.0,AT,0.7,0.7,0.7,4,1,0.2,0.3,0.3,0.0,0.0,0.0,0.0,2,2,2,,0.8,0.3,0.0,0.2,0.4,0.5,1.75,0.0,0.6666666666666666,0.0,0.0,0.8,0.8333333333333334,0.5,4,2,0.6666666666666666,1,3,2,1,1,1,1,3,1,3,1,2,0.5,0.5,0.5,2,25.0,3,3.0,1,5120.0,6.0,60.0,2,GER,0.26666666666666666
50623.0,AT,0.7,0.8,0.7,2,4,0.9,1.0,0.9,0.8,0.9,1.0,1.0,1,2,2,0.2,0.9,0.7,0.9,0.9,1.0,0.9,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9,0.6666666666666666,0.5,3,2,1.0,1,3,1,1,1,1,1,4,1,4,1,1,0.0,0.6666666666666666,0.8333333333333334,2,34.0,4,3.0,1,5223.0,6.0,53.0,1,GER,0.9333333333333332
